Index,Accel X (LSB),Accel Y (LSB),Accel Z (LSB),Gyro X (LSB),Gyro Y (LSB),Gyro Z (LSB),Compass X (LSB),Compass Y (LSB),Compass Z (LSB),Temperature,
14788,60,-500,16380,32,-60,19,-78,223,260,31,94881,
14789,-40,-376,16408,2,-43,-8,-70,219,266,32,04466,
14790,24,-476,16452,12,-64,9,-80,213,268,31,94881,
14791,148,-416,16392,-8,13,33,-90,224,271,31,90089,
14792,36,-328,16140,19,-71,32,-90,224,263,32,23635,
14793,96,-464,16460,1,-22,30,-90,224,263,31,85297,
14794,0,-452,16504,2,-46,17,-77,219,261,31,90089,
14795,0,-520,16504,35,-41,17,-72,211,268,32,04466,
14796,76,-636,16460,13,-50,4,-72,211,268,31,90089,
14797,-4,-532,16484,8,-58,31,-72,211,268,31,85297,
14798,-16,-512,16484,20,-3,27,-84,225,277,31,94881,
14799,68,-468,16448,1,-44,16,-85,219,261,32,04466,
14800,64,-596,16480,19,-19,8,-85,219,261,32,04466,
14801,16,-532,16512,21,-27,51,-78,217,270,32,09258,
14802,32,-356,16436,26,-30,8,-78,217,270,31,94881,
14803,20,-512,16472,-8,-62,28,-84,215,275,32,04466,
14804,-40,-436,16444,39,-6,-15,-84,223,265,32,1405,
14805,-20,-448,16448,40,-61,14,-75,216,256,32,04466,
14806,20,-472,16532,52,1,27,-82,219,261,31,94881,
14807,4,-492,16488,34,-5,29,-82,219,261,32,09258,
14808,-108,-480,16532,23,-11,22,-82,229,256,31,94881,
14809,0,-524,16568,27,-26,8,-82,229,256,32,1405,
14810,40,-416,16512,52,15,28,-80,221,263,31,94881,
14811,-16,-444,16476,32,45,-16,-87,224,261,31,94881,
14812,-28,-532,16472,86,18,15,-87,224,261,32,09258,
14813,-60,-496,16552,111,32,17,-87,224,261,31,94881,
14814,-28,-368,16272,105,-12,31,-86,228,267,31,94881,
14815,96,-468,16388,35,134,26,-81,210,270,31,94881,
14816,0,-588,16920,262,504,1,-89,215,267,32,04466,
14817,-140,-132,16496,-217,-666,-1884,-89,215,267,32,09258,
14818,16,-772,16000,17,-342,46,-82,219,268,32,04466,
14819,-80,-396,16420,-112,-201,23,-75,216,266,32,1405,
14820,12,-372,16352,-26,-126,37,-75,224,263,32,1405,
14821,-136,-464,16364,-19,-94,18,-75,224,263,32,04466,
14822,-40,-444,16340,-14,-100,-1,-75,224,263,31,94881,
14823,64,-404,16440,17,-39,11,-73,212,267,32,04466,
14824,32,-568,16604,22,19,-6,-85,213,273,31,90089,
14825,-44,-332,16572,33,18,-1,-85,213,273,32,04466,
14826,4,-424,16468,4,-82,6,-85,213,273,32,04466,
14827,-108,-504,16336,11,-61,20,-78,217,260,32,04466,
14828,-76,-480,16404,-1,-80,-13,-81,217,265,32,04466,
14829,16,-456,16528,21,-13,2,-80,216,258,32,04466,
14830,-44,-392,16432,22,-18,14,-71,225,265,31,75712,
14831,72,-396,16520,-2,-33,-33,-71,225,265,31,94881,
14832,80,-472,16412,-2,-50,7,-70,227,256,32,04466,
14833,-16,-428,16472,3,-25,-8,-78,223,260,31,94881,
14834,72,-416,16448,4,-36,27,-78,223,260,31,90089,
14835,124,-408,16380,35,-27,30,-78,217,265,31,94881,
14836,-92,-364,16556,-7,-44,13,-78,217,265,32,04466,
14837,-8,-420,16444,11,-38,25,-82,213,268,32,04466,
14838,40,-536,16444,30,-15,16,-82,213,268,31,94881,
14839,-52,-508,16544,0,-22,-5,-87,219,268,32,04466,
14840,-8,-496,16416,-2,-43,-3,-81,215,270,32,09258,
14841,24,-388,16500,29,-72,17,-81,215,270,32,09258,
14842,12,-476,16372,5,-62,41,-85,221,266,32,04466,
14843,32,-440,16396,41,-67,10,-82,216,266,31,85297,
14844,28,-436,16368,34,-65,5,-70,216,263,31,94881,
14845,80,-408,16412,-8,-43,26,-77,221,266,32,09258,
14846,44,-520,16276,397,114,48,-77,221,266,32,04466,
14847,-12,-292,16724,-562,-192,57,-77,221,266,32,04466,
14848,384,-1600,16316,1996,300,-873,-80,221,268,31,90089,
14849,-120,-544,16252,-212,95,1,-82,221,256,31,94881,
14850,48,-428,16452,-187,-154,30,-82,221,256,31,94881,
14851,-4,-428,16476,7,35,12,-82,221,256,31,94881,
14852,52,-332,16408,121,-75,4,-81,220,257,32,09258,
14853,-48,-380,16428,-20,68,-360,-77,221,263,31,85297,
14854,212,-556,16356,70,89,39,-77,221,263,32,1405,
14855,492,-828,16764,-147,-599,32,-76,228,260,31,85297,
14856,20,-424,16372,-442,-441,-199,-76,228,260,31,90089,
14857,-96,284,16660,565,286,413,-75,219,271,32,04466,
14858,488,308,16208,270,-199,-301,-82,221,266,31,94881,
14859,-196,-296,16348,-25,162,910,-84,220,257,31,85297,
14860,-48,1312,16652,-521,251,1525,-84,220,257,31,75712,
14861,-128,-20,16184,71,-325,690,-91,231,270,32,04466,
14862,-276,-584,16364,-10,-112,-52,-85,224,263,32,28427,
14863,-584,2084,16368,-379,251,1492,-85,224,263,32,04466,
14864,64,-384,18372,508,811,1644,-78,223,260,31,94881,
14865,100,-5132,17876,2656,1267,-2161,-78,223,260,32,04466,
14866,-588,4336,16864,1315,-535,-1450,-81,225,257,32,04466,
14867,-344,-436,16412,1332,578,-1542,-81,225,257,32,04466,
14868,-908,3192,15172,1164,1324,674,-76,231,255,32,04466,
14869,-164,8,16308,416,320,-9,-81,225,257,31,90089,
14870,-216,-292,16396,218,592,-250,-81,225,257,31,90089,
14871,-660,532,16364,0,698,-102,-81,236,265,32,1405,
14872,-648,308,16508,-18,1150,-342,-72,221,266,32,04466,
